date,next_date,n_stocks,pred_sigma_daily,pred_sigma_annual,realized_return_next,factor_var_daily,specific_var_daily,factor_risk_share,specific_risk_share,factor_vol_annual_component,specific_vol_annual_component,z,realized_vol_daily_rolling,realized_vol_annual_rolling
2023-09-05,2023-09-06,492,0.008666609737655857,0.1375781644553288,-0.0026139603994008555,7.468445568482988e-05,4.2566866000143417e-07,0.994332739245016,0.005667260754984044,0.13718776487929646,0.010357050850525037,-0.3016127965291165,0.006824626953104489,0.10833759425221767
2023-09-06,2023-09-07,492,0.008639790662163556,0.13715242483045703,-0.0036169198637192555,7.422145788932805e-05,4.245247966805339e-07,0.9943128245967869,0.005687175403213032,0.13676186379291075,0.010343125676675042,-0.41863512730220653,0.006764197851945849,0.10737831201051612
2023-09-07,2023-09-08,492,0.008615772401923556,0.13677114676934019,0.0007598768967936578,7.380704961453535e-05,4.2448446721224507e-07,0.9942816153207237,0.005718384679276343,0.13637953109929257,0.010342634371255988,0.08819602716339255,0.006749464698036858,0.10714443044289113
2023-09-08,2023-09-11,492,0.008586959840629916,0.13631376153843355,0.0026915640225527743,7.331237190052775e-05,4.235074040631843e-07,0.9942564270195552,0.005743572980444757,0.13592173379902492,0.010330724361046636,0.313447840971308,0.006797472460539014,0.10790653004637928
2023-09-11,2023-09-12,492,0.008560975389247888,0.13590127116056577,-0.0022128959800324075,7.286758848560688e-05,4.2271112970114134e-07,0.9942323727434613,0.005767627256538742,0.13550879048376505,0.010321007929688245,-0.25848643167596097,0.006802841464245145,0.10799176033794693
2023-09-12,2023-09-13,492,0.008534470561363682,0.13548052006182068,-0.003467070329991706,7.241459711841221e-05,4.2259064437110243e-07,0.9941981471642288,0.005801852835771182,0.13508692932271382,0.010319536926699659,-0.4062431647122255,0.006813556158681866,0.10816185083906858
2023-09-13,2023-09-14,492,0.008510951702232613,0.1351071697475361,0.010997988052030477,7.201445720728106e-05,4.2184167045514754e-07,0.9941763773551273,0.0058236226448726445,0.13471318872417365,0.010310388011840156,1.2922160102430682,0.006708078910762497,0.10648745143724765
2023-09-14,2023-09-15,492,0.008529447676851602,0.1354007842421217,-0.009345407037544985,7.233074075426067e-05,4.2073691788851187e-07,0.9942167921346623,0.005783207865337681,0.13500869109088381,0.010296878328304409,-1.0956637981270283,0.006802378049950893,0.1079844038640874
2023-09-15,2023-09-18,492,0.008535310222269707,0.13549384926547847,-0.0013730616963786753,7.243205714731969e-05,4.194634430620619e-07,0.9942422143057169,0.005757785694282979,0.13510321388155264,0.010281283365983045,-0.1608683996975509,0.006502320244382196,0.10322113386921615
2023-09-18,2023-09-19,492,0.008508330472128772,0.13506555900963305,-0.0025306150774004827,7.197349999389863e-05,4.181874290563745e-07,0.994223267284639,0.00577673271536104,0.13467487515666185,0.010265633547044547,-0.2974279249836574,0.006520269827348135,0.10350607466520732
2023-09-19,2023-09-20,492,0.008483326773445626,0.13466863759819866,-0.00457845651845204,7.154976969865411e-05,4.1706344640527854e-07,0.994204782561925,0.0057952174380749505,0.13427785358748046,0.010251828543929625,-0.539700596325424,0.006598974146357733,0.10475546699644386
2023-09-20,2023-09-21,492,0.00846393473210211,0.13436079848534568,-0.017970045922831353,7.122235908809718e-05,4.1583206118722197e-07,0.9941953858058661,0.005804614194134015,0.13397027465150801,0.010236683028167862,-2.123131438463763,0.007649275238539339,0.1214284799463562
2023-09-21,2023-09-22,492,0.008556710726892321,0.13583357174445485,-0.0033017817281310808,7.280119103591392e-05,4.161074278001739e-07,0.9943168153355672,0.0056831846644327276,0.13544703814055997,0.010240071865257775,-0.38587043941477756,0.007296691849743206,0.1158313921673544
2023-09-22,2023-09-25,492,0.008533258505893593,0.13546127927772625,0.002725206663331419,7.240159660883551e-05,4.14904119569852e-07,0.9943020590742561,0.005697940925744046,0.1350748027776704,0.010225254917683113,0.3193629563020063,0.007028733667605744,0.11157768789715035
2023-09-25,2023-09-26,492,0.008509301908133435,0.13508098007813077,-0.014465850075730993,7.199461732448206e-05,4.1360163928124793e-07,0.9942879186202848,0.005712081379715124,0.13469463079785135,0.010209192578204924,-1.700004328428413,0.00746360131563645,0.11848099779665126
2023-09-26,2023-09-27,492,0.008557275786054638,0.135842541780572,0.0013435786236171733,7.281464784331996e-05,4.123210352770534e-07,0.9943692734850101,0.005630726514989858,0.1354595557962473,0.010193375343320654,0.1570100879308735,0.007226364040911655,0.11471497281283215
2023-09-27,2023-09-28,492,0.00853167824011854,0.1354361933362492,0.00736509359574512,7.237816141577563e-05,4.113721771365623e-07,0.99434847076453,0.005651529235469909,0.13505294027445483,0.010181639781411131,0.8632643412537776,0.006841263900312407,0.10860169760154244
2023-09-28,2023-09-29,492,0.008526276420602719,0.1353504421098525,-0.0030303049747656442,7.228600987507066e-05,4.113797254552385e-07,0.9943412036152084,0.0056587963847915465,0.1349669385016857,0.010181733193062963,-0.35540778005311646,0.006737970150151338,0.10696196015206187
2023-09-29,2023-10-02,492,0.008503035997397016,0.1349815118288554,-0.01099237984155697,7.189152037233171e-05,4.101008006977455e-07,0.9943279169395619,0.005672083060437995,0.13459815427348026,0.010165894047049274,-1.2927594149809551,0.0069865269167673615,0.1109076764989518
2023-10-02,2023-10-03,492,0.008518610557131408,0.13522875029987452,-0.013143918244893063,7.215721441901246e-05,4.0951140505822444e-07,0.9943567606171039,0.0056432393828961735,0.13484664635648577,0.010158586224208198,-1.5429650359928182,0.007162366350251246,0.11369904096901286
2023-10-03,2023-10-04,492,0.008551389291722878,0.13574909657999704,0.006376283496516589,7.271735835649547e-05,4.0890046209724616e-07,0.9944082950679642,0.005591704932035729,0.13536903008382997,0.010151005686556679,0.7456429919157542,0.007275198025649251,0.11549018828769617
2023-10-04,2023-10-05,492,0.008541545922477014,0.13559283793747182,-0.00336430316647387,7.255002344809189e-05,4.079832976918265e-07,0.9944079708877819,0.0055920291122180926,0.13521318688988568,0.01013961493442134,-0.39387520678437515,0.007275692457819802,0.11549803715507698
2023-10-05,2023-10-06,492,0.008519263969962946,0.13523912290700876,0.009184714907156968,7.217052396134619e-05,4.0733462856261796e-07,0.9943876185316487,0.005612381468351197,0.1348590821496989,0.010131551036133597,1.0781113180129476,0.007735376728730427,0.12279529872970231
2023-10-06,2023-10-09,492,0.008525362363845842,0.13533593190867513,0.007837704394644672,7.22749985054113e-05,4.0680492946786966e-07,0.9944029329179709,0.005597067082029072,0.13495665831430345,0.010124961344415255,0.9193397371450891,0.008024235741984574,0.12738079340788222
2023-10-09,2023-10-10,492,0.008522911631833066,0.1352970277440599,0.007939994774192593,7.223315966648907e-05,4.068630175462968e-07,0.9943989139524909,0.005601086047509124,0.1349175905356868,0.010125684195236724,0.9316059015016324,0.008254923629011172,0.13104285008516628
2023-10-10,2023-10-11,492,0.008520756010056784,0.13526280830921536,0.002206759403485008,7.219729419601408e-05,4.059887869047275e-07,0.9944081208145885,0.0055918791854115395,0.13488409149115974,0.010114799765689448,0.2589863388742077,0.008297811251686441,0.13172366998869547
2023-10-11,2023-10-12,492,0.008497902483987144,0.13490001982984817,-0.01336150921286961,7.180765608184227e-05,4.0669054551259026e-07,0.9943682860192419,0.0056317139807581604,0.1345196243401841,0.010123537794129715,-1.5723302589135506,0.008686646784516323,0.13789624271333442
2023-10-12,2023-10-13,492,0.008532492034731309,0.13544911192523124,-0.003326204535816438,7.239649558705413e-05,4.069247356991171e-07,0.9944106371116201,0.00558936288837986,0.13507004437675157,0.010126452162340841,-0.38982802706140246,0.008163657708329122,0.12959404850936596
2023-10-13,2023-10-16,492,0.008511104405742684,0.13510959384060792,0.012392517700189096,7.20322813679917e-05,4.0661683746083774e-07,0.9943867611527223,0.005613238847277655,0.13472985899470805,0.010122620364319266,1.4560410857875874,0.00863763014333044,0.13711812765724524
2023-10-16,2023-10-17,492,0.00854044099214045,0.1355752977121522,0.004531681712188977,7.253342846671928e-05,4.05703873513675e-07,0.9944377748885025,0.005562225111497388,0.1351977217767121,0.010111249978387742,0.5306144865773756,0.008741628014516575,0.1387690426814771
2023-10-17,2023-10-18,492,0.008523478649533907,0.13530602887101228,-0.016843071201701327,7.224487473294895e-05,4.0481355611138967e-07,0.9944278693323404,0.005572130667659683,0.13492853083281955,0.010100149312761183,-1.9760794734462512,0.009374071972859485,0.1488087792732409
2023-10-18,2023-10-19,492,0.008591341532149018,0.1363833187349216,-0.012068356019369331,7.34064499301385e-05,4.046993918901349e-07,0.9945170967312204,0.005482903268779667,0.13600891655474248,0.010098725006470568,-1.4047114730812686,0.009615555568666164,0.15264221251447757
2023-10-19,2023-10-20,492,0.008612838563890248,0.13672457353440173,-0.012278138626771337,7.377546502057766e-05,4.055231070573718e-07,0.9945333283191156,0.005466671680884502,0.13635034721329303,0.010108997130203258,-1.425562378267258,0.009226457800567541,0.14646547693400216
2023-10-20,2023-10-23,492,0.008635129902599228,0.13707843756608976,-0.005445452397574406,7.416039940671181e-05,4.0506902805155655e-07,0.9945676056684879,0.005432394331512149,0.1367055984606753,0.010103335838671911,-0.6306161527385118,0.009252146360096797,0.1468732701743255
2023-10-23,2023-10-24,492,0.008619304227132208,0.13682721275639764,0.007596839525281533,7.388833243771452e-05,4.0407292214463437e-07,0.9945610467155105,0.005438953284489542,0.1364546070101851,0.010090905627368035,0.8813750304076612,0.00944122531872755,0.14987480559047775
2023-10-24,2023-10-25,492,0.008616057129455545,0.13677566667878654,-0.012790545781837317,7.383210138879602e-05,4.0433906924571207e-07,0.9945533613040857,0.005446638695914355,0.13640267427721717,0.010094228323647106,-1.48450104144627,0.009336934228677282,0.14821923586108063
2023-10-25,2023-10-26,492,0.008641523310872866,0.13717992977602264,-0.002232294708677897,7.427134849988994e-05,4.0457663246919585e-07,0.9945822347463107,0.0054177652536892594,0.13680782076318687,0.01009719324278967,-0.2583218986251183,0.0093074112583965,0.14775057323711924
2023-10-26,2023-10-27,492,0.008619153834839091,0.13682482535275753,-0.010557828480502664,7.388099969717326e-05,4.088131314481631e-07,0.9944970499200039,0.005502950079996175,0.1364478359069416,0.010149921631467758,-1.2249263306831053,0.009220429680364553,0.1463697834924203
2023-10-27,2023-10-30,492,0.008628032511234791,0.13696576997104418,0.007755865408545583,7.403210535028557e-05,4.1083966463895744e-07,0.9944811470777172,0.005518852922282846,0.13658730009877187,0.010175047689766238,0.8989147176307534,0.009509988036571881,0.15096637989581177
2023-10-30,2023-10-31,492,0.008626221618806953,0.13693702294495327,0.00905207321797296,7.399889597839408e-05,4.1280343837837604e-07,0.9944524390436736,0.005547560956326309,0.1365566614506788,0.010199336570157432,1.0493671062470227,0.009610756486303284,0.1525660294437566
2023-10-31,2023-11-01,492,0.00863169504539466,0.13702391089837593,0.00533261914222823,7.40932168507987e-05,4.129425058920227e-07,0.9944576057945075,0.00554239420549249,0.13664366303053088,0.010201054430047402,0.6177951276294668,0.00932868189713361,0.14808823415907457
2023-11-01,2023-11-02,492,0.008618899349765582,0.13682078552745622,0.022395753398345826,7.386974131690719e-05,4.156846844823946e-07,0.9944042229161528,0.00559577708384709,0.1364374391868325,0.010234868855513658,2.598447027804652,0.010506139236044376,0.1667797899479493
2023-11-02,2023-11-03,492,0.008755025824844762,0.13898172632692427,0.016735933143542277,7.623209851186583e-05,4.183786818328812e-07,0.9945417341528662,0.0054582658471338955,0.13860190772493067,0.010267980708098652,1.911580100203648,0.011066920824954855,0.175681921692434
2023-11-03,2023-11-06,492,0.008818896220505554,0.1399956374252708,-0.0058248457720199145,7.735248300958097e-05,4.2044753846618883e-07,0.9945939090181712,0.005406090981828716,0.13961671002575018,0.010293336664730228,-0.6604960106544941,0.011006290495650568,0.1747194450529514
2023-11-06,2023-11-07,492,0.00880527501942878,0.1397794075616279,-0.0006992018031582094,7.711053373455568e-05,4.2233443322080236e-07,0.9945528336149401,0.005447166385060024,0.13939818686449273,0.010316408152629587,-0.0794071510106641,0.010875925373427199,0.17264996289471396
2023-11-07,2023-11-08,492,0.008782272235365776,0.13941424968507093,-0.0016643094213176274,7.670511946915659e-05,4.231861469200065e-07,0.9945132186745226,0.005486781325477449,0.13903125586078643,0.010326805363898444,-0.1895078376886947,0.010727343144146275,0.17029129312718855
2023-11-08,2023-11-09,492,0.00876010756937405,0.13906239652042943,-0.009363164643385734,7.631486943618132e-05,4.246151908231878e-07,0.9944667964231575,0.005533203576842453,0.13867713257028969,0.010344226799884238,-1.06884128639242,0.010881002503761011,0.17273055984013674
2023-11-09,2023-11-10,492,0.008762195316130903,0.1390955384727441,0.011638563357990909,7.635097800985593e-05,4.2508874817039435e-07,0.994463264841241,0.005536735158759024,0.13870993640862106,0.010349993455985342,1.328270249416229,0.010826548348858439,0.17186612692977837
2023-11-10,2023-11-13,492,0.008781159814777038,0.13939659055568426,-0.0014941155562978484,7.668372383940746e-05,4.250438532476309e-07,0.9944877364018863,0.005512263598113732,0.13901186426895612,0.010349446894322566,-0.17015013822929556,0.010804015230238358,0.17150842476098965
2023-11-13,2023-11-14,492,0.008759041014882101,0.13904546549275706,0.028147915879516892,7.629671833808963e-05,4.240811622972396e-07,0.9944724095022615,0.0055275904977385056,0.13866063976918105,0.010337719908127922,3.2135842076423673,0.0121494568212466,0.19286664788121496
2023-11-14,2023-11-15,492,0.008968193712970618,0.14236566164383938,0.003557199892073932,8.000434690383289e-05,4.2415156953281503e-07,0.9947263522559324,0.00527364774406767,0.14198977223647444,0.01033857802225574,0.3966461927477309,0.012137325136682808,0.19267406335917453
2023-11-15,2023-11-16,492,0.00894911057516685,0.14206272622265811,-0.003455320880228261,7.966273230294182e-05,4.2384778362132586e-07,0.994707630377484,0.005292369622516053,0.14168630329125445,0.010334875010012174,-0.3861077423511262,0.011487591110188818,0.182359855444536
2023-11-16,2023-11-17,492,0.008929758417207109,0.14175552023889462,0.005028927876395479,7.931694072028933e-05,4.236446693918699e-07,0.9946872139535775,0.005312786046422623,0.14137846038740454,0.010332398399536829,0.5631650534582253,0.011065950223638755,0.17566651387420643
2023-11-17,2023-11-20,492,0.008914526174929587,0.14151371588903738,0.004580815145592167,7.904614582118598e-05,4.22631102318758e-07,0.9946817968178171,0.0053182031821828,0.14113691489804808,0.010320030900357179,0.513859632660549,0.010543278951058508,0.1673693646460965
2023-11-20,2023-11-21,492,0.008898064926207493,0.14125240166670797,-0.0020932786596855758,7.875422957571795e-05,4.213298552860139e-07,0.9946785364282373,0.005321463571762619,0.1408760655792208,0.010304131381735944,-0.23525099862108634,0.010429776493496594,0.1655675689906756
2023-11-21,2023-11-22,492,0.008877044612472202,0.14091871453096314,0.0048835965512974595,7.838129203275579e-05,4.20629019065977e-07,0.9946621984153234,0.005337801584676631,0.14054211323391455,0.010295557916141613,0.550137660053666,0.010392078173284665,0.16496912670992173
2023-11-22,2023-11-24,492,0.008861660313673312,0.1406744963586613,0.0032855232211863746,7.81098263293022e-05,4.1919718563035297e-07,0.9946618821059116,0.005338117894088435,0.1402985254198495,0.010278019788794383,0.3707570708975267,0.009719190999209346,0.15428737397187178
2023-11-24,2023-11-27,492,0.00884269772822066,0.14037347464672612,-0.002069905067553169,7.777579821500023e-05,4.1750489767855725e-07,0.9946606054347528,0.005339394565247112,0.13999821838216392,0.010257252761582724,-0.23408072187600135,0.00971400751778672,0.15420508875525302
2023-11-27,2023-11-28,492,0.008822124902976923,0.14004689117056063,-0.0009745021204182857,7.741356344718883e-05,4.1632435653674835e-07,0.994650842134237,0.005349157865762973,0.13967182245783002,0.010242740739043462,-0.11046115659612248,0.009204918184635643,0.14612354613145226
2023-11-28,2023-11-29,492,0.008800793793027024,0.13970827029786217,0.0037824050969320826,7.703858073621989e-05,4.153906511631019e-07,0.9946369354118004,0.005363064588199641,0.1393331344136326,0.010231248413224151,0.42977999324662375,0.009175700957579306,0.14565973703071242
2023-11-29,2023-11-30,492,0.008783337699166626,0.13943116339855888,0.007181652700838231,7.673109573614026e-05,4.1592540146144024e-07,0.9946086654373916,0.0053913345626084965,0.13905479540636975,0.010237831858762038,0.8176450623684474,0.009136495149744676,0.1450373641258335
2023-11-30,2023-12-01,492,0.008776074158629469,0.13931585826716394,0.014974304079655137,7.660444674631019e-05,4.1503089145375045e-07,0.9946113515154478,0.0053886484845523525,0.13893998913225153,0.010226816936190123,1.7062645334338908,0.009431948023654234,0.14972753309685757
2023-12-01,2023-12-04,492,0.008815746055023624,0.1399456300985475,-0.00022064753604878108,7.730280500892246e-05,4.1457349774214016e-07,0.9946656268429515,0.005334373157048635,0.13957186988160783,0.010221180041023606,-0.025028799000289467,0.008560473539902972,0.13589330454919216
2023-12-04,2023-12-05,492,0.008794666179697876,0.13961099745186642,-0.00834717614125605,7.693171432244928e-05,4.144388898723623e-07,0.9946417646817587,0.00535823531824127,0.1392364607753918,0.010219520548823966,-0.9491180188879893,0.008386485143606171,0.13313132438351843
